id,name,dob,position,initials,nation
528,Tim Ream,1987/10/05,Defender,TR,USA
529,Timothy Eyoma,2000/01/29,Defender,TE,England
530,Timothy Fosu-Mensah,1998/01/02,Defender,TF,Netherlands
531,Toby Alderweireld,1989/03/02,CB,TA,Belgium
532,Tom Cairney,1991/01/20,MF,TC,Scotland
533,Tom Cleverley,1989/08/12,MF,TC,England
534,Tom Davies,1998/06/30,MF,TD,England
535,Tom Heaton,1986/04/15,GK,TH,England
536,Tom Smith,1992/04/14,Defender,TS,England
537,Trent Alexander-Arnold,1998/10/07,RB,TA,England
538,Troy Deeney,1988/06/29,ST,TD,England
539,Tyias Browning,1994/05/27,RB,TB,England
540,Tyreke Johnson,1998/11/03,Defender,TJ,England
541,Tyrone Mings,1993/03/13,CB,TM,England
542,Vicente Guaita,1987/01/10,GK,VG,Spain
543,Vicente Iborra De La Fuente,1988/01/16,MF,VID,Spain
544,Víctor Camarasa,1994/05/28,MF,VC,Spain
545,Victor Lindelöf,1994/07/17,CB,VL,Sweden
546,Victor Moses,1990/12/12,MF,VM,Nigeria
547,Victor Wanyama,1991/06/25,MF,VW,Kenya
548,Viktor Gyökeres,1998/06/04,ST,VG,Sweden
549,Vincent Janssen,1994/06/15,ST,VJ,Netherlands
550,Vincent Kompany,1986/04/10,CB,VK,Belgium
551,Virgil van Dijk,1991/07/08,CB,VVD,Netherlands
552,Wayne Hennessey,1987/01/24,GK,WH,Wales
553,Wes Morgan,1984/01/21,CB,WM,Jamaica
554,Wesley Hoedt,1994/03/06,CB,WH,Netherlands
555,Wilfred Ndidi,1996/12/16,MF,WN,Nigeria
556,Wilfried Zaha,1992/11/10,MF,WZ,Ivory Coast
557,Will Hughes,1995/04/17,MF,WH,England
558,Will Norris,1993/08/12,GK,WN,England
559,Willian,1988/08/09,ST,W,Brazil
560,Willy Boly,1991/02/03,CB,WB,France
561,Willy Caballero,1981/09/28,GK,WC,Argentina
562,Xherdan Shaqiri,1991/10/10,MF,XS,Switzerland
563,Yan Valery,1999/02/22,RB,YV,France
564,Yerry Mina,1994/09/23,CB,YM,Colombia
565,Yoshinori Muto,1992/07/15,ST,YM,Japan
566,Youri Tielemans,1997/05/07,MF,YT,Belgium
567,Yves Bissouma,1996/08/30,MF,YB,Mali
568,Zechariah Medley,2000/07/07,Defender,ZM,England
569,Zeze  Steven Sessegnon,2000/05/18,Defender,ZS,England
570,Łukasz Fabiański,1985/04/18,GK,ŁF,Poland
